#datatype,measurement,tag,dateTime:31/01/2000 13:59,double,double,double,long,double,double,double
#group,true,true,false,false,false,false,false,false,false,false
#default,,,,,,,,,,
,Buoy,Status,TimeDate,AirTemperature,WindSpeed,WindDirection,Barometric Pressure,Direction,Pitch,Roll
,jet-mule,online,11/03/2022 08:35,12.5,12.03,135.7,1013,123.2,-3.2,4.3
,jet-mule,online,11/03/2022 08:35,12.5,11.47,131.3,1013,123.7,-3.4,5.2
,jet-mule,online,11/03/2022 08:35,12.5,11.41,124.9,1013,124.2,-3.3,4.7
,jet-mule,online,11/03/2022 08:35,12.5,11.93,125.7,1013,124.9,-3.6,4.6
,jet-mule,online,11/03/2022 08:35,12.5,10.28,129.2,1013,124.8,-3.6,4.6
,jet-mule,online,11/03/2022 08:35,12.5,9.92,133.3,1013,124.6,-3.2,4.3
,jet-mule,online,11/03/2022 08:35,12.5,10.75,133.6,1013,124.5,-3.7,4.9
,jet-mule,online,11/03/2022 08:35,12.5,10.33,128.4,1013,124.1,-3.6,5.2
,jet-mule,online,11/03/2022 08:35,12.5,10.08,127.3,1013,124,-3.4,4.4
,jet-mule,online,11/03/2022 08:35,12.5,10.39,133.4,1013,123.4,-3.7,5.8
,jet-mule,online,11/03/2022 08:35,12.5,10.9,136.1,1013,122.7,-2.9,4
,jet-mule,online,11/03/2022 08:36,12.5,10.59,125.3,1013,122.3,-3.2,4
,jet-mule,online,11/03/2022 08:36,12.5,10.18,135.6,1013,121.3,-3.1,4.2
,jet-mule,online,11/03/2022 08:36,12.5,10.08,124.1,1013,121.2,-3.1,4.3
,jet-mule,online,11/03/2022 08:36,12.5,11.41,130.2,1013,120.3,-3.4,4.8
,jet-mule,online,11/03/2022 08:36,12.5,10.18,136.4,1013,119.8,-3.9,5
,jet-mule,online,11/03/2022 08:36,12.5,10.8,136.3,1013,119.3,-3.5,4.6
,jet-mule,online,11/03/2022 08:36,12.5,10.23,137.3,1013,119,-3.2,4.5
,jet-mule,online,11/03/2022 08:36,12.5,11.62,128.8,1013,118.7,-2.9,4.3
,jet-mule,online,11/03/2022 08:36,12.5,10.8,129.6,1013,119.1,-3.5,5.3
,jet-mule,online,11/03/2022 08:36,12.5,10.08,130.9,1013,119.1,-3.4,5
,jet-mule,online,11/03/2022 08:36,12.5,10.08,132.1,1013,119.1,-3.4,5
,jet-mule,online,11/03/2022 08:36,12.5,10.49,136.6,1013,119.6,-3.4,4.8
,jet-mule,online,11/03/2022 08:37,12.5,10.18,131.7,1013,119.7,-3.2,4.5
,jet-mule,online,11/03/2022 08:37,12.5,11,136.3,1013,119.9,-3.5,5.3
,jet-mule,online,11/03/2022 08:37,12.5,11.77,132.1,1013,120.7,-3.2,4.8
,jet-mule,online,11/03/2022 08:37,12.5,11.47,129.7,1013,121.5,-3.4,5.2
,jet-mule,online,11/03/2022 08:37,12.5,10.8,125,1013,122.3,-3.8,5.6
,jet-mule,online,11/03/2022 08:37,12.5,11.16,121.2,1013,123.5,-2.9,4.4
